tipologia,autore_saggio,precisazione_autore,titolo_saggio,autore_curatore_volume,precisazione_curatore,titolo_volume,luogo,editore,anno,volumi,rivista,annata,fascicolo,pagine
articolo in volume miscellaneo,"Cortese, Ennio",,Intorno all'edizione di Bartolo curata dal Diplovatazio e alla sua ristampa anastatica,"Colli, Vincenzo-Conti, Emanuele",a cura di,Iuris Historia. Liber amicorum Gero Dolezalek,"Berkeley, California",University of California at Berkeley,2008,,,,,369-385
articolo in volume miscellaneo,"Mercanti, Fabio",,Mari Giuseppe,,,"Dizionario biografico degli italiani, 70",Roma,Istituto della Enciclopedia Italiana,2008,,,,,192-195
articolo in volume miscellaneo,"De Tata, Rita",,Mariani Andrea,,,"Dizionario biografico degli italiani, 70",Roma,Istituto della Enciclopedia Italiana,2008,,,,,268-270
articolo in volume miscellaneo,"Izzi, Giuseppe",,Mariani Gaetano,,,"Dizionario biografico degli italiani, 70",Roma,Istituto della Enciclopedia Italiana,2008,,,,,282-285
articolo in volume miscellaneo,"Farnetani, Francesca",,Mariani Giuseppe,,,"Dizionario biografico degli italiani, 70",Roma,Istituto della Enciclopedia Italiana,2008,,,,,288-290
articolo in volume miscellaneo,"Mazzocco, Luca",,Mariani Lucio,,,"Dizionario biografico degli italiani, 70",Roma,Istituto della Enciclopedia Italiana,2008,,,,,296-298
articolo in volume miscellaneo,"Casini, Tommaso",,Mariani Valerio,,,"Dizionario biografico degli italiani, 70",Roma,Istituto della Enciclopedia Italiana,2008,,,,,306-309
articolo in volume miscellaneo,"Fregonese, Lucio",,Marianini Stefano,,,"Dizionario biografico degli italiani, 70",Roma,Istituto della Enciclopedia Italiana,2008,,,,,310-313
articolo in volume miscellaneo,"Boccia, Carmine",,Mariconda Diomede,,,"Dizionario biografico degli italiani, 70",Roma,Istituto della Enciclopedia Italiana,2008,,,,,348-349
articolo in volume miscellaneo,"Evangelisti, Paolo",,"Marignolli Giovanni de' (Giovanni di Marignola, Giovanni da Firenze, Giovanni di S. Lorenzo)",,,"Dizionario biografico degli italiani, 70",Roma,Istituto della Enciclopedia Italiana,2008,,,,,363-365
articolo in volume miscellaneo,"Saracco, Lisa",,"Marinari (Marinario, Marinaro) Antonio",,,"Dizionario biografico degli italiani, 70",Roma,Istituto della Enciclopedia Italiana,2008,,,,,381-382
articolo in volume miscellaneo,"Saracco, Lisa",,Marinari (Marinario) Antonio,,,"Dizionario biografico degli italiani, 70",Roma,Istituto della Enciclopedia Italiana,2008,,,,,382-384
articolo in volume miscellaneo,"Patrizi, Paolo",,Marinelli Giovanni,,,"Dizionario biografico degli italiani, 70",Roma,Istituto della Enciclopedia Italiana,2008,,,,,392-395
articolo in volume miscellaneo,"Ballio, Alessandro",,Marini Bettolo Marconi Giovanni Battista,,,"Dizionario biografico degli italiani, 70",Roma,Istituto della Enciclopedia Italiana,2008,,,,,492-494
articolo in volume miscellaneo,"Dinoia, Rosalba",,Marinelli Vincenzo,,,"Dizionario biografico degli italiani, 70",Roma,Istituto della Enciclopedia Italiana,2008,,,,,404-407
articolo in volume miscellaneo,"Pellegrini, Paolo",,Marino da Venezia,,,"Dizionario biografico degli italiani, 70",Roma,Istituto della Enciclopedia Italiana,2008,,,,,508-509
articolo in volume miscellaneo,"Spinedi, Marina",,Marinori Mario,,,"Dizionario biografico degli italiani, 70",Roma,Istituto della Enciclopedia Italiana,2008,,,,,548-550
articolo in volume miscellaneo,"Farnetani, Francesca",,Marino-Zuco Carlo,,,"Dizionario biografico degli italiani, 70",Roma,Istituto della Enciclopedia Italiana,2008,,,,,554-556
articolo in volume miscellaneo,"Chiacchella, Rita",,Mariotti Annibale,,,"Dizionario biografico degli italiani, 70",Roma,Istituto della Enciclopedia Italiana,2008,,,,,569-571
articolo in volume miscellaneo,"Vaglienti, Francesca M.",,Marliani Giovanni,,,"Dizionario biografico degli italiani, 70",Roma,Istituto della Enciclopedia Italiana,2008,,,,,607-610
articolo in volume miscellaneo,"Ambrosetti, Maria",,"Marmorale, Vincenzo (Enzo V.)",,,"Dizionario biografico degli italiani, 70",Roma,Istituto della Enciclopedia Italiana,2008,,,,,634-636
articolo in volume miscellaneo,"Masi, Antonio",,Maroi Fulvio,,,"Dizionario biografico degli italiani, 70",Roma,Istituto della Enciclopedia Italiana,2008,,,,,644-646
articolo in volume miscellaneo,"Matt, Luigi",,Marone Gherardo,,,"Dizionario biografico degli italiani, 70",Roma,Istituto della Enciclopedia Italiana,2008,,,,,655-658
articolo in volume miscellaneo,"Quagliarini, Barbara",,Marpicati Arturo,,,"Dizionario biografico degli italiani, 70",Roma,Istituto della Enciclopedia Italiana,2008,,,,,685-688
articolo in volume miscellaneo,"Saracco, Lisa",,Marracci Ludovico,,,"Dizionario biografico degli italiani, 70",Roma,Istituto della Enciclopedia Italiana,2008,,,,,700-702
articolo in volume miscellaneo,"Farnetani, Francesca",,Marrassini Alberto,,,"Dizionario biografico degli italiani, 70",Roma,Istituto della Enciclopedia Italiana,2008,,,,,711-714
articolo in volume miscellaneo,Ferrante Riccardo,,Marré Gaetano Giovanni,,,"Dizionario biografico degli italiani, 70",Roma,Istituto della Enciclopedia Italiana,2008,,,,,716-718
articolo in volume miscellaneo,"Rabino Massa, Emma",,Marro Giovanni,,,"Dizionario biografico degli italiani, 70",Roma,Istituto della Enciclopedia Italiana,2008,,,,,724-726
articolo in volume miscellaneo,"Brancaleoni, Francesca",,Marsand Antonio,,,"Dizionario biografico degli italiani, 70",Roma,Istituto della Enciclopedia Italiana,2008,,,,,733-735
articolo in volume miscellaneo,"Pontari, Paolo",,Marsi Paolo,,,"Dizionario biografico degli italiani, 70",Roma,Istituto della Enciclopedia Italiana,2008,,,,,741-744
articolo in volume miscellaneo,"Favino, Federica",,Marsili Alessandro,,,"Dizionario biografico degli italiani, 70",Roma,Istituto della Enciclopedia Italiana,2008,,,,,747-751
articolo in volume miscellaneo,"Cavazza, Marta",,Marsili (Marsigli) Antonio Felice,,,"Dizionario biografico degli italiani, 70",Roma,Istituto della Enciclopedia Italiana,2008,,,,,751-755
articolo in volume miscellaneo,"Cavazza, Marta",,Marsili (Marsigli) Cesare,,,"Dizionario biografico degli italiani, 70",Roma,Istituto della Enciclopedia Italiana,2008,,,,,755-758
articolo in volume miscellaneo,"Ongaro, Giuseppe",,Marsili Giovanni,,,"Dizionario biografico degli italiani, 70",Roma,Istituto della Enciclopedia Italiana,2008,,,,,761-764
articolo in volume miscellaneo,"Pallotti, Lia",,Marsili Ippolito,,,"Dizionario biografico degli italiani, 70",Roma,Istituto della Enciclopedia Italiana,2008,,,,,764-767
